Date,Open,High,Low,Close,Adj Close,Volume
2021-07-30,144.380005,146.330002,144.110001,145.860001,143.408936,70440600
2021-08-02,146.360001,146.949997,145.250000,145.520004,143.074615,62880000
2021-08-03,145.809998,148.039993,145.179993,147.360001,144.883698,64786600
2021-08-04,147.270004,147.789993,146.279999,146.949997,144.480576,56368300
2021-08-05,146.979996,147.839996,146.169998,147.059998,144.588760,46397700
2021-08-06,146.350006,147.110001,145.630005,146.139999,143.899490,54126800
2021-08-09,146.199997,146.699997,145.520004,146.089996,143.850235,48908700
2021-08-10,146.440002,147.710007,145.300003,145.600006,143.367752,69023100
2021-08-11,146.050003,146.720001,145.529999,145.860001,143.623779,48493500
2021-08-12,146.190002,149.050003,145.839996,148.889999,146.607315,72282600
2021-08-13,148.970001,149.440002,148.270004,149.100006,146.814102,59375000
2021-08-16,148.539993,151.190002,146.470001,151.119995,148.803131,103296000
2021-08-17,150.229996,151.679993,149.089996,150.190002,147.887390,92229700
2021-08-18,149.800003,150.720001,146.149994,146.360001,144.116119,86326000
2021-08-19,145.029999,148.000000,144.500000,146.699997,144.450928,86960300
2021-08-20,147.440002,148.500000,146.779999,148.190002,145.918045,60549600
2021-08-23,148.309998,150.190002,147.889999,149.710007,147.414764,60131800
2021-08-24,149.449997,150.860001,149.149994,149.619995,147.326126,48606400
2021-08-25,149.809998,150.320007,147.800003,148.360001,146.085449,58991300
2021-08-26,148.350006,149.119995,147.509995,147.539993,145.278000,48597200
2021-08-27,147.479996,148.750000,146.830002,148.600006,146.321777,55802400
2021-08-30,149.000000,153.490005,148.610001,153.119995,150.772461,90956700
2021-08-31,152.660004,152.800003,151.289993,151.830002,149.502243,86453100
2021-09-01,152.830002,154.979996,152.339996,152.509995,150.171799,80313700
2021-09-02,153.869995,154.720001,152.399994,153.649994,151.294357,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,151.934387,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,154.287720,82278300
2021-09-08,156.979996,157.039993,153.979996,155.110001,152.731964,74420200
2021-09-09,155.490005,156.110001,153.949997,154.070007,151.707901,57305700
2021-09-10,155.000000,155.479996,148.699997,148.970001,146.686111,140893200
2021-09-13,150.630005,151.419998,148.750000,149.550003,147.257187,102404300
